"p","t","y","e","d","i","expected_years_saved","expected_years_saved_L","expected_years_saved_U","infs","prob_success","benefit","ratio"
0.4,3,2.5,0.9,0.2,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,111449.357375114,693.43801253804
0.4,3,2.5,0.9,0.3,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,334348.072125342,2080.31403761412
0.4,3,2.5,0.9,0.3,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,167174.036062671,1040.15701880706
0.4,3,2.5,0.9,0.4,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,445797.429500455,2773.75205015216
0.4,3,2.5,0.9,0.4,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,222898.714750228,1386.87602507608
0.4,3,2.5,0.9,0.5,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,557246.786875569,3467.1900626902
0.4,3,2.5,0.9,0.5,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,278623.393437785,1733.5950313451
0.4,3,2.5,0.9,0.6,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,668696.144250683,4160.62807522824
0.4,3,2.5,0.9,0.6,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,334348.072125342,2080.31403761412
0.4,3,2.5,0.9,0.7,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,780145.501625797,4854.06608776628
0.4,3,2.5,0.9,0.7,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,390072.750812898,2427.03304388314
0.4,3,2.5,0.9,0.8,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,891594.859000911,5547.50410030432
0.4,3,2.5,0.9,0.8,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,445797.429500455,2773.75205015216
0.4,3,2.5,0.9,0.9,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,1003044.21637602,6240.94211284236
0.4,3,2.5,0.9,0.9,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,501522.108188012,3120.47105642118
0.4,3,5,0.5,0.1,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,115180.209678861,652.949034460663
0.4,3,5,0.5,0.1,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,57590.1048394304,326.474517230331
0.4,3,5,0.5,0.2,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,230360.419357722,1305.89806892133
0.4,3,5,0.5,0.2,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,115180.209678861,652.949034460663
0.4,3,5,0.5,0.3,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,345540.629036583,1958.84710338199
0.4,3,5,0.5,0.3,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,172770.314518291,979.423551690994
0.4,3,5,0.5,0.4,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,460720.838715444,2611.79613784265
0.4,3,5,0.5,0.4,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,230360.419357722,1305.89806892133
0.4,3,5,0.5,0.5,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,575901.048394304,3264.74517230331
0.4,3,5,0.5,0.5,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,287950.524197152,1632.37258615166
0.4,3,5,0.5,0.6,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,691081.258073165,3917.69420676398
0.4,3,5,0.5,0.6,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,345540.629036583,1958.84710338199
0.4,3,5,0.5,0.7,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,806261.467752026,4570.64324122464
0.4,3,5,0.5,0.7,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,403130.733876013,2285.32162061232
0.4,3,5,0.5,0.8,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,921441.677430887,5223.5922756853
0.4,3,5,0.5,0.8,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,460720.838715444,2611.79613784265
0.4,3,5,0.5,0.9,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,1036621.88710975,5876.54131014596
0.4,3,5,0.5,0.9,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,176.4,0.784,518310.943554874,2938.27065507298
0.4,3,5,0.7,0.1,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,161252.293550405,956.646259791203
0.4,3,5,0.7,0.1,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,80626.1467752026,478.323129895602
0.4,3,5,0.7,0.2,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,322504.58710081,1913.29251958241
0.4,3,5,0.7,0.2,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,161252.293550405,956.646259791203
0.4,3,5,0.7,0.3,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,483756.880651216,2869.93877937361
0.4,3,5,0.7,0.3,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,241878.440325608,1434.9693896868
0.4,3,5,0.7,0.4,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,645009.174201621,3826.58503916481
0.4,3,5,0.7,0.4,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,322504.58710081,1913.29251958241
0.4,3,5,0.7,0.5,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,806261.467752026,4783.23129895602
0.4,3,5,0.7,0.5,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,403130.733876013,2391.61564947801
0.4,3,5,0.7,0.6,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,967513.761302431,5739.87755874722
0.4,3,5,0.7,0.6,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,483756.880651216,2869.93877937361
0.4,3,5,0.7,0.7,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,1128766.05485284,6696.52381853842
